======================================== [1] 2025-12-05 11:32:37
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
43    hdd  14.67400   1.00000   15 TiB  125 GiB  915 MiB    4 KiB   611 MiB   15 TiB  0.83  1.02  182      up
 1   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  168      up
 4   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  171      up
11    hdd  14.67400   1.00000   15 TiB  125 GiB  947 MiB    5 KiB   653 MiB   15 TiB  0.83  1.02  176      up
14    hdd  14.67400   1.00000   15 TiB  125 GiB  875 MiB    4 KiB   505 MiB   15 TiB  0.83  1.02  182      up
17    hdd  14.67400   1.00000   15 TiB  125 GiB  969 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  181      up
20    hdd  14.67400   1.00000   15 TiB  125 GiB  877 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  173      up
23    hdd  14.67400   1.00000   15 TiB  125 GiB  915 MiB    4 KiB   598 MiB   15 TiB  0.83  1.02  175      up
26    hdd  14.67400   1.00000   15 TiB  125 GiB  863 MiB    5 KiB  1003 MiB   15 TiB  0.83  1.02  180      up
29    hdd  14.67400   1.00000   15 TiB  125 GiB  831 MiB    4 KiB   958 MiB   15 TiB  0.83  1.02  176      up
32    hdd  14.67400   1.00000   15 TiB  125 GiB  862 MiB    4 KiB   719 MiB   15 TiB  0.83  1.02  173      up
35    hdd  14.67400   1.00000   15 TiB  125 GiB  871 MiB    5 KiB   1.0 GiB   15 TiB  0.83  1.02  178      up
38    hdd  14.67400   1.00000   15 TiB  125 GiB  913 MiB    4 KiB   651 MiB   15 TiB  0.83  1.02  179      up
41    hdd  14.67400   1.00000   15 TiB  125 GiB  932 MiB    4 KiB   686 MiB   15 TiB  0.83  1.02  179      up
44    hdd  14.67400   1.00000   15 TiB  125 GiB  826 MiB    4 KiB   910 MiB   15 TiB  0.83  1.02  183      up
 2   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  170      up
 5   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  170      up
                        TOTAL  539 TiB  4.4 TiB   31 GiB  185 KiB    27 GiB  535 TiB  0.82                   
MIN/MAX VAR: 0.00/1.02  STDDEV: 0.36

======================================== [3] 2025-12-05 11:32:51
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.67400   1.00000   15 TiB  125 GiB  894 MiB    4 KiB   594 MiB   15 TiB  0.83  1.02  176      up
12    hdd  14.67400   1.00000   15 TiB  125 GiB  884 MiB    4 KiB   550 MiB   15 TiB  0.83  1.02  179      up
15    hdd  14.67400   1.00000   15 TiB  125 GiB  863 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  176      up
