======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   3                  3
 31                  22                 22
 23                  53                 53
 20                  13                 13
 34                  24                 24
 16                  20                 20
 13                  32                 32
 10                  10                 10
 38                  10                 10
 28                  21                 21
 25                  11                 11
 14                  17                 17
 44                  30                 30
 43                  23                 23
 29                  48                 48
 37                  19                 19
  8                   0                  0
  5                   0                  0
 17                  37                 37
 30                  23                 23
  1                   0                  0
 27                  18                 18
 24                  42                 42
 15                  30                 30
  2                   0                  0
 33                  17                 17
  4                   0                  0
  6                   0                  0
 35                  10                 10
  3                   0                  0
 32                  16                 16
 39                  17                 17
  0                   0                  0
  9                  18                 18
 12                  14                 14
 18                  21                 21
 19                  23                 23
 42                  35                 35
 11                  15                 15
 40                  29                 29
 21                  28                 28
 36                  22                 22
  7                   0                  0
 22                  20                 20
 26                  28                 28

======================================== [11] 2025-12-02 17:13:46
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  11                 11
 31                  18                 18
 23                  38                 38
 20                  32                 32
 34                  29                 29
 16                  13                 13
 13                  41                 41
 10                  24                 24
 38                  42                 42
 28                  14                 14
 25                  20                 20
 14                   9                  9
 44                  15                 15
 43                  47                 47
 29                  10                 10
 37                  25                 25
  8                   0                  0
  5                   0                  0
 17                  18                 18
 30                  16                 16
  1                   0                  0
 27                  23                 23
 24                  19                 19
 15                   5                  5
  2                   0                  0
 33                   6                  6
  4                   0                  0
  6                   0                  0
 35                  12                 12
  3                   0                  0
 32                  12                 12
 39                  17                 17
  0                   0                  0
  9                  15                 15
 12                  27                 27
 18                  21                 21
 19                  45                 45
 42                  28                 28
 11                  27                 27
 40                  40                 40
 21                  46                 46
 36                  20                 20
  7                   0                  0
 22                  38                 38
 26                  19                 19

======================================== [12] 2025-12-02 17:13:53
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  23                 23
 31                  17                 17
 23                  13                 13
 20                  19                 19
 34                  11                 11
 16                  24                 24
 13                  30                 30
 10                  31                 31
 38                   8                  8
 28                  20                 20
 25                  33                 33
 14                   8                  8
 44                  19                 19
 43                  13                 13
 29                  45                 45
 37                   4                  4
  8                   0                  0
  5                   0                  0
 17                  30                 30
 30                  36                 36
  1                   0                  0
 27                  12                 12
 24                  29                 29
 15                  14                 14
  2                   0                  0
 33                  21                 21
  4                   0                  0
  6                   0                  0
 35                  15                 15
  3                   0                  0
 32                  14                 14
 39                  35                 35
  0                   0                  0
  9                  34                 34
 12                   2                  2
 18                  19                 19
 19                  10                 10
 42                  33                 33
 11                  49                 49
 40                  36                 36
 21                  19                 19
 36                  22                 22
  7                   0                  0
 22                  12                 12
 26                   5                  5

======================================== [13] 2025-12-02 17:14:00
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  18                 18
 31                   7                  7
 23                  27                 27
 20                   8                  8
 34                   6                  6
 16                  40                 40
 13                  35                 35
 10                  23                 23
 38                   3                  3
 28                  20                 20
 25                  22                 22
 14                  41                 41
 44                  37                 37
 43                   9                  9
 29                  20                 20
 37                  19                 19
  8                   0                  0
  5                   0                  0
 17                  45                 45
 30                  43                 43
  1                   0                  0
 27                  24                 24
 24                  46                 46
 15                  19                 19
  2                   0                  0
 33                   3                  3
  4                   0                  0
  6                   0                  0
 35                  23                 23
  3                   0                  0
 32                  28                 28
 39                  30                 30
  0                   0                  0
  9                  11                 11
 12                  11                 11
 18                   4                  4
 19                   8                  8
 42                  36                 36
 11                  22                 22
 40                  36                 36
 21                   6                  6
 36                  31                 31
  7                   0                  0
 22                  18                 18
 26                  28                 28

======================================== [14] 2025-12-02 17:14:07
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  21                 21
 31                  18                 18
 23                  25                 25
 20                  34                 34
 34                  14                 14
 16                   7                  7
 13                  15                 15
 10                   8                  8
 38                  18                 18
 28                  16                 16
 25                  16                 16
 14                  42                 42
 44                  17                 17
 43                  15                 15
 29                  42                 42
 37                   7                  7
  8                   0                  0
  5                   0                  0
 17                  12                 12
 30                  33                 33
  1                   0                  0
 27                  36                 36
 24                  33                 33
